"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"172",172,6,1,2,2,2,2,3,3,3,3,4,2,3,3,4,2,3,2,2,1,1,0,4,4,4,3,4,3,0,1,4,0,1,3,20,1,9,0,7,1,3,4,2,3,3,4,3,3,3,3,2,3,3,3,1,1,1,2,1,1,2,1,2,1,1
"173",173,6,1,4,3,4,4,4,4,4,3,4,5,4,4,4,3,3,4,4,1,1,1,3,3,3,0,3,3,0,1,4,1,1,3,5,0,3,0,1,1,4,4,5,4,4,3,4,3,3,4,4,4,4,4,3,0,2,1,1,0,2,1,2,5,1
"174",174,6,1,4,3,4,4,4,4,4,5,5,5,3,2,3,3,5,3,4,1,1,0,4,4,3,4,4,4,0,1,4,1,1,10,10,1,4,0,4,1,5,5,5,3,2,4,3,5,3,4,4,4,4,4,2,2,2,1,1,3,1,2,2,5,1
"175",175,1,0,5,5,5,5,4,4,4,4,3,3,4,4,4,4,3,1,4,1,1,0,4,4,4,4,0,4,0,1,3,0,1,1,7,1,3,0,2,1,4,3,3,4,4,4,4,2,1,4,5,4,4,4,1,1,1,1,1,0,1,1,2,5,1
"176",176,6,1,3,2,4,4,4,4,4,3,4,4,3,3,2,3,4,1,3,1,1,1,3,4,4,3,1,1,0,1,2,1,1,0,10,1,9,2,1,0.938172043010753,3,4,4,3,4,2,3,5,1,3,4,4,3,4,3,2,1,1,1,1,3,1,2,5,1
"177",177,1,1,4,4,4,5,5,4,4,4,5,5,4,4,5,4,4,3,4,1,1,0,4,4,4,4,4,4,1,1,4,1,1,5,6,1,3,0,2.49051490514905,1,4,5,5,4,4,5,4,4,4,4,5,5,4,4,1,1,1,2,1,1,2,1,2,5,1
"178",178,3,1,5,3,4,5,5,5,5,5,4,4,3,5,5,4,5,5,4,1,1,1,4,4,4,4,3,4,1,1,4,1,1,5,6,1,2,0,2,1,5,4,4,4,5,5,4,5,5,4,5,5,5,5,2,1,1,1,1,1,2,1,2,5,1
"179",179,1,1,3,3,3,4,4,4,4,4,4,4,4,5,5,5,4,5,4,2,1,1,4,4,3,3,4,4,0,0,3.34117647058824,1,0,30,20,0,1,0,1,1,4,4,4,5,4,4,4,3,4,4,5,5,5,5,2,3,2,2,1,1,2,2,2,1,1
"180",180,1,0,3,3,3,4,4,4,4,3,3,3,3,3,2,2,4,1,3,1,1,1,3,4,4,3,3,2,1,0,3.34117647058824,1,1,5,4,1,2,0,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,1,1,1,2,1,2,5,1
"181",181,5,0,4,2,4,5,4,4,4,5,5,5,4,3,5,5,3,2,4,1,1,1,4,4,4,4,3,4,1,1,4,1,1,0,3,1,3,0,3,1,5,5,5,4,3,5,4,3,3,4,5,4,4,4,3,3,1,1,1,1,1,1,2,5,1
"182",182,1,1,4,3,3,4,5,4,4,3,5,3,3,4,4,4,5,5,4,1,1,1,4,4,4,4,4,4,1,1,2,1,1,3,6,1,3,1,1,0.938172043010753,3,5,3,3,5,5,5,5,4,3,4,4,4,4,3,2,2,1,1,0,2,1,2,5,1
"183",183,3,1,3,3,4,4,5,5,4,4,4,5,3,4,4,3,2,4,4,1,1,1,3,4,4,4,0,3,1,1,3,0,0,8,5,1,3,1,2,1,4,4,5,3,4,3,3,4,4,4,4,4,5,5,1,1,1,2,1,1,1,1,2,5,1
"184",184,6,1,4,4,4,5,4,4,5,4,3,4,3,4,5,2,4,3,3,1,1,0,4,4,4,4,4,4,0,1,3,1,0,25,15,1,6,0,1,1,4,3,4,3,4,5,2,4,3,3,5,4,4,5,2,1,1,1,2,1,2,1,2,1,1
"185",185,1,1,4,2,3,5,5,4,4,3,4,3,3,3,4,2,3,2,3,1,1,1,3,3,4,4,3,3,0,1,3,1,1,4,6,1,11,4,4,1,2,4,3,3,3,4,2,3,3,3,5,4,4,4,2,2,1,2,1,1,2,1,2,1,1
"186",186,6,1,3,3,3,4,3,4,3,4,3,4,2,4,4,4,5,1,4,1,1,1,4,4,4,0,2,2,1,1,3,0,1,3,2,1,2,2,7,1,4,3,4,2,4,4,4,5,3.13624678663239,4,4,3,4,3,2,1,1,2,2,1,1,1,2,1,1
"187",187,1,1,5,3,4,5,4,4,3,4,4,4,3,4,5,3,1,3,4,1,1,1,4,4,4,4,4,4,1,1,4,1,1,5,3,2,1,0,1,1,3,4,4,4,4,4,3,2,3,4,5,4,4,3,2,3,2,2,1,0,2,1,2,1,1
"188",188,3,1,2,2,2,3,2,4,4,3,3,2,2,2,2,2,1,2,2,1,1,1,3,3,2,0,0,0,0,1,3,0,0,6,3,0,3,0,4,0.938172043010753,3,1,3,2,2,2,2,1,2,2,3,2,4,4,2,2,1,2,2,2,2,2,2,1,1
